global_step,episode,episode_length,mean_reward,queue_total_proxy,co2_total_mg,fuel_total_ml,throughput,avg_waiting_proxy
27000,25,1080,-41.063898196925365,23674.0,152164597.05941802,49223468.67571756,556.0,86.90972272240128
28080,26,1080,-43.94548189561006,25880.0,161785292.612526,52322016.98056945,556.0,97.84882843220511
29160,27,1080,-42.18921742467717,23486.0,161019103.62714067,52074276.761718474,580.0,88.10088793737143
30240,28,1080,-42.08055768764245,23624.0,156920787.26155037,50757341.98475553,559.0,88.33625386577295
31320,29,1080,-44.42810343289898,25570.0,162903562.3967528,52686175.84225115,553.0,97.72453399325386
32400,30,1080,-41.27161143292297,23992.0,156745677.52213952,50697865.933459766,539.0,88.40781024725058
33480,31,1080,-44.992384290156195,27558.0,161608534.62776196,52277075.074578345,547.0,106.24340612876763
34560,32,1080,-42.07913503419043,25962.0,161312223.02801856,52170645.07242168,589.0,97.26881386673305
35640,33,1080,-49.899020101063755,31464.0,178180463.34539843,57622755.92465393,581.0,124.40007506855102
36720,34,1080,-41.794122393814014,25700.0,161032405.80267993,52085049.687707625,582.0,96.19123378657586
37800,35,1080,-44.15189559004111,27126.0,160652913.24828964,51970897.7969228,534.0,100.99959319628182
38880,36,1080,-43.874467745883365,27338.0,164143748.85734934,53094891.05440154,554.0,102.65577831213457
39960,37,1080,-43.186916657962506,27222.0,162425071.96072975,52535637.268652976,590.0,104.35483454921132
41040,38,1080,-52.19926335190934,36928.0,186480142.29541144,60322608.42523445,584.0,139.48759141988276
42120,39,1080,-56.874873793093734,43260.0,196250392.63108703,63492769.577106886,581.0,158.78994763732305
43200,40,1080,-43.92201620618482,27786.0,165177861.3468631,53425756.79809844,544.0,106.61501231849653
44280,41,1080,-42.21806563003952,28586.0,162557270.97164062,52584200.68999218,573.0,111.40317523789605
45360,42,1080,-48.40891220554578,34440.0,173551648.4257133,56146961.262752205,547.0,135.2504494960718
46440,43,1080,-45.09748874038013,30254.0,165968054.8317464,53693798.60925887,530.0,116.5666926029778
47520,44,1080,-56.60436041366847,42764.0,197065825.3140602,63752680.953067295,571.0,163.7271991461733
48600,45,1080,-51.77967986703501,36466.0,185804446.2896101,60089721.27712596,578.0,145.92111352933014
49680,46,1080,-44.10118035180018,29478.0,163433265.32116786,52866843.40898464,567.0,115.68329501253535
50760,47,1080,-51.2676927944228,36180.0,182269957.5944256,58963368.77559005,550.0,137.50491657413951
51840,48,1080,-42.457542978333294,26152.0,160705957.11492813,51974390.19820084,562.0,100.11010607562855
52920,49,1080,-40.4288890693565,24836.0,155048311.75348946,50149832.860563025,559.0,91.21301797707534
54000,50,1080,-46.56426201784528,30138.0,175043649.2564521,56602875.03926887,564.0,115.83514219906837
55080,51,1080,-42.434076899834736,25226.0,158885589.24502185,51389245.41302365,553.0,95.5593619218489
56160,52,1080,-43.14504862041825,26882.0,161983850.05894554,52397207.1788255,542.0,100.37845492090318
57240,53,1080,-48.82360983802859,34432.0,177860118.80409196,57538511.40725225,538.0,120.60017931428573
58320,54,1080,-43.29157544833066,27644.0,165065107.96015537,53384061.78892487,564.0,105.58699132795925
59400,55,1080,-41.98318363543915,25540.0,158469080.89972404,51256886.90122526,539.0,96.34195261541657
60480,56,1080,-43.45457247369022,28938.0,165684916.31327605,53588830.42741735,565.0,110.67663266058615
61560,57,1080,-47.5854883458976,35142.0,181545060.13824308,58726046.43140656,532.0,128.0699676007687
62640,58,1080,-48.084133165190366,36918.0,179495185.91679803,58071841.01527637,546.0,131.39232492513892
63720,59,1080,-41.2025702496725,28128.0,165410919.1670287,53495935.6651932,602.0,107.08163685446152
64800,60,1080,-40.73997907882004,27982.0,164292665.85562807,53143840.14990256,584.0,103.83185492567151
65880,61,1080,-43.01199280963221,28302.0,162362049.4494892,52519110.58502486,528.0,109.59807458253114
66960,62,1080,-46.48518807057249,34726.0,180334261.84313062,58329565.28999644,548.0,128.84894509692262
